-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 01/01/2025 in LST
Location: Latitude  6.6223   Longitude -76.2367 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1255.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2025,1,1,0,0.0
2025,1,1,1,0.0
2025,1,1,2,0.0
2025,1,1,3,0.0
2025,1,1,4,0.0
2025,1,1,5,0.0
2025,1,1,6,12.95
2025,1,1,7,97.0
2025,1,1,8,201.6
2025,1,1,9,301.45
2025,1,1,10,281.77
2025,1,1,11,264.83
2025,1,1,12,346.95
2025,1,1,13,418.12
2025,1,1,14,270.67
2025,1,1,15,224.6
2025,1,1,16,140.68
2025,1,1,17,32.7
2025,1,1,18,0.0
2025,1,1,19,0.0
2025,1,1,20,0.0
2025,1,1,21,0.0
2025,1,1,22,0.0
2025,1,1,23,0.0
